text,label
"Says Charlie Crist stood there, over 3 African-American prisoners inchains, on their knees, on the side of the road Saying that it was a great sight Saying we needed to bring it to FloridaAnd you did this whether you know or not on the eve of Juneteenth, the day the African-American community celebrates the end of slavery",REAL
Three thousand felons voted in Rhode Island in 2008,REAL
"There currently are 825,000 student stations sitting empty across Florida in every district and at every grade level",REAL
"Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus",REAL
99 percent of all new income today (is) going to the top 1 percent,REAL
We have a higher rate of tested lead in people in Cleveland than in Flint,REAL
25 percent of federal inmates are noncitizens,REAL
Governor Deal has increased education spending every year hes been in office,REAL
Donald Trump called the military that I served in a disaster,REAL
60 percent of all Americans do not want to see Planned Parenthood defunded,REAL
Clayton County Public Schools recently achieved a milestone that has eluded other metropolitan districts across the state by meeting federal guidelines for having a highly qualified staff,REAL
I took the state of Ohio from an $8 billion hole to a $2 billion surplus,REAL
"For thousands of public employees, Wisconsin Gov Scott Walkers budget-repair bill would take away any say they have in the workplace, and eliminate their union",REAL
Republican candidate for governor Ken Block was fined and had to admit that (he) funneled money illegally to the Moderate Party,REAL
The new Atlanta Braves stadium will require no tax increase for homeowners and provide $3 million annually for Cobb County schools,REAL
"But it was Hillary Clinton, in an interview with Tom Brokaw, who quote 'paid tribute' to Ronald Reagan's economic and foreign policy",REAL
"In 1968, a full-time worker earning minimum wage, could actually support a family of three above the poverty line Today, that same worker would earn less than the poverty line for a family of two",REAL
"Republican gubernatorial candidate Eric Greitens spent another $600,000 on image consultants to rebrand his charity, The Mission Continues",REAL
Says US Sen Ron Johnson doesnt even believe that theres a man-made role in climate change,REAL
Fox News barely covered (the Duggar family) scandal until Megyn Kelly was able to secure this interview,REAL
China is in the South China Sea and (building)a military fortress the likes of which perhaps the world has not seen,REAL
"During my eight years as county executive, we cut the number of county workers by 20 percent",REAL
(Bill) Nelson voted for billions in wasteful spending earmarks like the Bridge to Nowhere,REAL
"Under President Barack Obamas leadership, since June 2009, (the auto) industry has added a quarter of a million jobs",REAL
A recent study found that cities where Uber operates have 36%-56% fewer drunk driving deaths than cities without access to ridesharing,REAL
More businesses are closing than are opening for the first time in our nations history,REAL
"Obama says his bill ""reduced welfare rolls nearly 80 percent""",REAL
"The number of SWAT raids have gone up by 1,400 percent since the 1980s",REAL
The planned expansion of Savannahs port is a jobs creating project,REAL
"Says Rick Scott changed his promise from700,000 jobs created on top of what normal growth would be to just 700,000 jobs",REAL
I waited until (the Trans-Pacific Partnership trade agreement) had actually been negotiated before deciding whether to endorse it,REAL
"Gov Romney was very clear, he would veto the DREAM Act",REAL
"Under the clear letter of the law, (Justice Clarence Thomas) must recuse himself from the case challenging the constitutionality of the health care law",REAL
Collectively states are spending more on Medicaid than they do on K-12 education,REAL
"Lizbeth Benacquisto broke election law 105 times, hiding special interest contributors",REAL
"Every dollar we invested in high-quality, early education programs can save more than $7 later on by boosting graduation rates, reducing teen pregnancy, even reducing crime",REAL
